6248,-44.4775,399.879,7.77359
6247,-41.1394,406.771,5.8041
6246,-44.9571,406.897,8.6266
6245,-48.8253,403.183,9.30423
6244,-49.4545,404.805,7.40959
6243,-47.9639,402.185,6.09894
6242,-43.5146,399.779,4.83598
6241,-45.0103,400.083,6.02991
6240,-49.161,401.105,7.70719
6239,-50.5318,403.675,8.76397
6238,-51.5624,399.919,9.67933
6237,-46.8141,399.065,7.49023
6236,-45.9466,399.672,6.21884
6235,-47.1788,401.933,9.53121
6234,-42.6496,400.592,7.82648
6233,-50.6484,397.878,7.88244
6232,-47.8226,406.104,8.06901
6231,-47.9435,399.074,7.06916
6230,-43.2018,402.666,5.87245
6229,-51.6751,399.867,9.9382
6228,-51.5988,404.735,5.41733
6227,-47.465,398.09,7.05126
6226,-41.899,406.678,5.59254
6225,-50.3996,396.66,8.85308
6224,-46.3179,399.375,6.27741
6223,-47.4841,400.854,6.37499
6222,-45.3623,399.73,5.62901
6221,-41.3337,403.121,5.05743
6220,-54.4235,396.873,10.0477
6219,-51.0122,397.201,8.30588
6218,-51.509,402.714,7.2676
6217,-50.6919,403.242,6.64017
6216,-40.9528,399.069,7.49264
6215,-44.7782,402.18,6.68854
6214,-38.3311,406.579,9.07588
6213,-49.7778,403.799,7.02288
6212,-50.8418,395.995,7.84585
6211,-42.8971,400.913,7.08464
6210,-48.976,396.456,9.97902
6209,-40.546,396.828,6.60496
6208,-37.14,405.911,8.67122
6207,-39.7644,399.884,6.08908
6206,-50.4803,402.403,7.45238
6205,-48.9257,399.251,6.50874
6204,-48.4476,402.841,5.30611
6203,-42.3912,397.178,6.45787
6202,-46.2416,399.376,9.21991
6201,-49.6361,399.071,8.04419
6200,-41.1521,405.513,6.37554
6199,-48.797,403.829,9.75814
6198,-49.8636,403.081,5.7552
6197,-49.6704,401.77,7.26429
6196,-41.667,398.572,7.57749
6195,-45.7253,400.856,7.90931
6194,-49.7874,400.431,6.1241
6193,-48.1836,402.957,8.59956
6192,-46.0056,402.238,9.21598
6191,-46.4023,398.087,9.74641
6190,-52.2192,405.253,9.53524
6189,-47.2729,404.819,8.38625
6188,-40.3952,400.789,8.8211
6187,-42.4589,398.259,7.24247
6186,-42.7593,402.886,5.12292
6185,-48.476,401.361,5.5671
6184,-40.9243,406.249,7.19473
6183,-41.5671,399.591,5.96545
6182,-44.2606,398.019,7.60733
6181,-40.4841,398.396,5.95385
6180,-47.6012,401.835,5.95979
6179,-39.4866,401.692,8.20604
6178,-50.5775,402.343,5.12277
6177,-48.5941,398.93,9.64557
6176,-43.7435,398.139,6.05711
6175,-47.4476,396.238,8.20423
6174,-52.3657,404.292,9.78532
6173,-54.688,401.394,8.84041
6172,-47.6285,399.881,9.31908
6171,-40.7314,404.254,8.47627
6170,-46.5167,398.111,5.06363
6169,-49.9623,399.969,7.10614
6168,-50.942,397.798,8.64634
6167,-52.2967,398.686,8.94844
6166,-49.1424,399.163,5.31603
6165,-54.2259,394.791,9.44558
6164,-41.9013,402.032,7.95487
6163,-46.7626,401.66,6.16383
6162,-52.2402,394.434,7.49794
6161,-44.3838,400.847,8.4082
6160,-43.7157,392.916,9.80033
6159,-47.7668,396.226,5.05725
6158,-49.5365,391.323,9.71836
6157,-49.5187,401.03,7.90095
6156,-43.7651,397.194,8.45627
6155,-46.2589,395.926,7.51175
6154,-47.534,396.998,6.15138
6153,-40.6162,392.443,8.72476
6152,-46.2871,398.707,4.85266
6151,-44.1506,397.113,6.72541
6150,-45.2265,393.801,5.4221
6149,-49.3345,397.834,9.79251
6148,-49.0515,398.719,8.16276
6147,-44.1286,393.928,6.03141
